Account_No,TRANSACTION_DETAILS,WITHDRAWAL_AMOUNT,DEPOSIT_AMOUNT,BALANCE_AMOUNT,Transaction_Dates
409000493201,BBPS SETMNT FOR DT 120120,175473.28,,813097.99,2023-05-28
409000493201,BBPS SETTLEMENT FOR DT 17,14823.01,,813293.94,2022-12-11
409000493201,BBPS SETMNT FOR DT 230120,104333.66,,813311.83,2022-03-11
409000493201,BBPS DT 09022019,110277.09,,813486.34,2023-08-29
409000425051,NEFT/SBIN816356480003/SIS,,8000.00,1343086.85,2023-01-29
409000493201,TRF FROM  Indiaforensic SERVICES,,200000.00,814189.99,2023-06-02
409000425051,BDP IS 6095,,3000.00,1341577.85,2023-04-13
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,814596.00,2022-11-27
409000611074,INDO GIBL Indiaforensic STL24121,692917.00,,815058.00,2022-08-17
409000425051,BDP IS 6095,,5000.00,1338577.85,2022-05-31
409000425051,BDP IS 6095,,3000.00,1335086.85,2022-04-05
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,815809.36,2022-08-07
409000493201,BBPS DT 02032019,16440.61,,816028.00,2022-03-29
409000493201,BBPS DT 07042018,197932.71,,816187.53,2023-07-03
409000611074,INDO GIBL Indiaforensic STL10111,284926.00,,816959.00,2023-09-06
409000493201,BBPS DT 06062018,64415.11,,817031.79,2022-11-27
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,817143.85,2022-05-25
409000493201,BBPS SETMNT FOR DT 110820,137544.04,,817228.69,2022-12-04
409000425051,BDP IS 6095,,3000.00,1333577.85,2022-09-17
409000493201,BBPS SETMNT FOR DT 111220,472783.03,,818432.38,2022-01-17
409000611074,INDO GIBL Indiaforensic STL15021,387100.00,,819019.00,2023-05-06
409000425051,NEFT/SAA205977061/PRAVEEN,,1000.00,1333577.60,2023-11-28
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,819820.27,2022-02-25
409000425051,BDP IS 6095,,2000.00,1332577.60,2022-08-30
409000425051,BDP IS 6095,,5000.00,1332086.85,2023-12-02
409000493201,TRF FROM  Indiaforensic SERVICES,,100000.00,820595.60,2023-04-18
409000493201,BBPS DT 08032018,208169.53,,821181.57,2023-11-10
409000425051,BDP IS 6095,,5000.00,1330577.85,2022-01-19
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,822494.73,2023-06-17
409000425051,BDP IS 6095,,2000.00,1330577.60,2022-12-25
409000425051,BDP IS 6095,,2000.00,1328577.60,2022-07-13
409000611074,INDO GIBL Indiaforensic STL18121,616950.00,,824095.00,2022-04-07
409000425051,NEFT/SBIN316273440441/PRI,,10994.25,1328572.85,2022-04-03
409000611074,INDO GIBL Indiaforensic STL30031,85750.00,,825809.00,2022-07-03
409000425051,BDP IS 6095,,3000.00,1327086.85,2022-02-28
409000611074,INDO GIBL Indiaforensic STL05101,143700.00,,826586.00,2023-04-24
409000425051,BDP IS 6095,,1000.00,1326577.60,2022-12-14
409000425051,BDP IS 6095,,3000.00,1325577.85,2023-10-17
409000493201,BBPS SETMNT FOR DT 301120,82700.97,,827990.08,2022-03-03
409000493201,BBPS SETTLEMENT FOR DT 16,4.70,,828116.95,2022-06-05
409000493201,BBPS SETTLEMENT FOR DT 15,3238.66,,828121.65,2022-05-02
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,828153.38,2022-01-16
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,828198.54,2022-08-07
409000425051,NEFT/SBIN916182568748/JAW,,20000.00,1325577.60,2022-08-03
409000425051,BDP IS 6095,,5000.00,1324086.85,2023-11-01
409000493201,BBPS SETMNT FOR DT 020620,99989.44,,829790.25,2022-08-01
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,829969.12,2022-09-22
409000425051,BDP IS 6095,,5000.00,1322577.85,2023-10-10
409000493201,TRF TO  Indiaforensic SERVICES I,500000.00,,830681.33,2023-09-29
409000493201,BBPS SETTLEMENT FOR DT 13,4.70,,831360.31,2022-01-06
409000493201,BBPS SETTLEMENT FOR DT 09,2.10,,831364.11,2022-06-07
409000493201,BBPS SETTLEMENT FOR DT 10,,0.90,831365.01,2022-03-30
409000493201,BBPS SETTLEMENT FOR DT 08,6777.18,,831366.21,2022-06-26
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,832468.61,2023-02-06
409000425051,BDP IS 6095,,3000.00,1319086.85,2022-12-11
409000611074,INDO GIBL Indiaforensic STL12121,142000.00,,832605.00,2022-02-13
409000493201,BBPS SETTELET DTD 17.04.2,237804.30,,833492.11,2022-08-22
409000425051,BDP IS 6095,,1000.00,1317578.60,2022-01-30
409000493201,TRF TO  Indiaforensic SERVICES I,600000.00,,834732.31,2022-09-28
409000493201,BBPS SETTLEMENT 12042017,127317.40,,834996.53,2023-06-18
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,836690.69,2023-06-08
409000611074,INDO GIBL Indiaforensic STL08081,556450.00,,836855.00,2022-10-20
409000611074,INDO GIBL Indiaforensic STL26041,351100.00,,837842.00,2022-06-13
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,837965.50,2023-07-22
409000611074,INDO GIBL Indiaforensic STL25101,232683.00,,837994.00,2023-11-25
409000493201,BBPS SETTLEMENT FOR DT 07,2852.05,,838143.39,2023-02-07
409000493201,BBPS DT 21022018,134293.53,,839897.68,2022-10-05
409000493201,BBPS SETTLEMENT FOR DT 06,10449.24,,840995.44,2022-09-22
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,841511.19,2022-02-14
409000493201,BBPS DT 04012019,124836.90,,841716.45,2022-09-09
409000493201,TRF FRM  Indiaforensic SERVICES,,100000.00,842012.20,2023-03-25
409000425051,BDP IS 6095,,1.00,1317577.85,2022-09-24
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,842795.26,2022-01-08
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,842805.78,2022-05-10
409000493201,BBPS SETMNT FOR DT 170720,125047.30,,843433.59,2022-03-20
409000493201,BBPS DT 28032018,168011.64,,843643.18,2022-11-12
409000493201,BBPS SETMNT FOR DT 121020,115110.46,,844240.67,2022-08-03
409000493201,BBPS DT 15032018,181965.87,,844323.76,2023-07-20
409000611074,FDRL/INTERNAL FUND TRANSFE,,200000.00,844356.00,2022-03-13
409000493201,BBPS DT 31102018,,57953.44,846308.07,2022-01-29
409000493201,BBPS SETMNT FOR DT 280720,128572.30,,846517.99,2022-09-26
409000611074,INDO GIBL Indiaforensic STL06051,101050.00,,847570.00,2023-02-23
409000425051,BDP IS 6095,,3000.00,1317576.85,2023-02-25
409000493201,BBPS OX01 SETTLEMENT 19.0,145936.93,,849413.72,2022-08-08
409000493201,BBPS DT 20092018,,161689.32,849575.16,2023-04-09
409000493201,BBPS SETMNT FOR DT 020220,87199.44,,849640.83,2022-03-25
409000425051,NEFT/SBIN316273362578/Mr,,11000.00,1316578.60,2023-12-17
409000493201,BBPS SETMNT FOR DT 290920,157424.01,,850500.80,2023-01-09
409000493201,BBPS DT 26052018,131055.59,,850861.38,2023-10-15
409000493201,BBPS SETTLEMENT FOR DT 04,7.57,,851444.68,2022-02-12
409000493201,BBPS SETTLEMENT FOR DT 03,2338.45,,851452.25,2023-03-21
409000425051,BDP IS 6095,,5000.00,1316086.85,2022-03-13
409000493201,BBPS DT 09022018,153450.94,,851901.26,2023-05-05
409000493201,BBPS DT 28052018,,53022.28,852382.86,2023-06-04
409000611074,INDO GIBL Indiaforensic STL21051,376125.00,,852432.00,2022-11-13
409000425051,BDP IS 6095,,5000.00,1314576.85,2023-01-01
409000611074,INDO GIBL Indiaforensic STL16051,403100.00,,853407.00,2022-03-23
409000425051,NEFT/AXIR163517559576/SAN,,8000.00,1311086.85,2023-02-27
409000425051,BDP IS 6095,,1.00,1309576.85,2023-11-22
409000611074,INDO GIBL Indiaforensic STL06091,377198.00,,853732.00,2023-02-19
409000493201,BBPS SETTLEMENT FOR DT 02,2442.44,,853790.70,2022-04-11
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,853990.77,2022-01-04
409000493201,BBPS SETMNT FOR DT 131120,367421.58,,854321.86,2022-02-24
409000425051,BDP IS 6095,,3000.00,1309575.85,2022-06-19
409000425051,BDP IS 6095,,5000.00,1306575.85,2023-10-30
409000425051,NEFT/UTBIN16273732103/M/S,,21000.00,1305578.60,2022-02-26
409000493201,TRF TO  Indiaforensic SERVICES I,800000.00,,855631.22,2022-07-09
409000611074,INDO GIBL Indiaforensic STL13111,800876.00,,855723.00,2023-11-06
409000611074,INDO GIBL Indiaforensic STL20111,145900.00,,856072.00,2022-07-18
409000493201,BBPS SETTLEMENT FOR DT 01,4642.19,,856233.14,2022-12-18
409000493201,BBPS SETTLEMENT 28042017,78121.88,,856462.70,2022-06-20
409000493201,TRF TO  Indiaforensic SERVICES I,2000000.00,,858121.02,2022-03-17
409000611074,INDO GIBL Indiaforensic STL26091,256050.00,,859523.00,2023-11-18
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,859823.06,2022-07-08
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,860326.92,2023-02-01
409000425051,NEFT/SAA205140562/RAJNISH,,1000.00,1305577.60,2022-02-21
409000611074,FDRL/INTERNAL FUND TRANSFE,,200000.00,860679.00,2023-02-04
409000611074,INDO GIBL Indiaforensic STL29051,341200.00,,860757.00,2023-12-19
409000493201,BBPS SETTLEMENT FOR DT 31,2232.44,,860875.33,2022-09-03
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,861362.69,2023-09-05
409000425051,BDP IS 6095,,2000.00,1304577.60,2022-03-18
409000425051,NEFT/BKIDN16349979816/SAN,,7000.00,1303086.85,2023-07-09
409000493201,BBPS SETTLEMENT FOR DT 30,41386.19,,863107.77,2023-05-03
409000493201,BBPS  DT 12022018,50650.62,,863143.27,2023-02-05
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,863186.38,2022-11-28
409000425051,BDP IS 6095,,2000.00,1302577.60,2023-04-11
409000611074,INDO GIBL Indiaforensic STL20121,425752.00,,864433.00,2022-07-11
409000425051,BDP IS 6095,,3000.00,1301575.85,2022-05-06
409000611074,INDO GIBL Indiaforensic STL13051,10000.00,,864796.00,2023-04-30
409000425051,NEFT/SBIN816181727342/ABB,,20000.00,1300577.60,2022-07-10
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,867228.69,2022-10-22
409000493201,BBPS DT 23032018,68100.91,,867311.64,2022-10-03
409000493201,BBPS SETMNT FOR DT 250920,364716.38,,867611.14,2022-01-23
409000493201,BBPS SETMNT FOR DT 250120,108268.42,,867732.57,2022-03-01
409000493201,BBPS SETMNT FOR DT 190920,209833.19,,868227.69,2023-04-28
409000493201,NEFT/FDRL666621043/ONE 97,,2624.66,870235.80,2022-06-08
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,870348.21,2023-07-28
409000493201,BBPS SETTLEMENT FOR OX01,73844.12,,872468.24,2023-10-31
409000493201,BBPS DT 12042018,199217.29,,872815.49,2023-11-18
409000611074,Indfor INCOME INDO REMI02111,2640.00,,873307.00,2022-12-29
409000493201,BBPS SETMNT FOR DT 201220,169273.67,,873465.56,2022-05-26
409000611074,INDO GIBL Indiaforensic STL11101,599251.00,,874007.00,2023-10-11
409000611074,INDO GIBL Indiaforensic STL23091,6250.00,,874670.00,2023-05-10
409000611074,INDO GIBL Indiaforensic STL12051,225300.00,,874796.00,2022-11-17
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,875023.81,2022-08-19
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,875090.29,2023-05-24
409000493201,BBPS DT 22062018,34623.77,,875123.62,2022-06-09
409000425051,BDP IS 6095,,5000.00,1298575.85,2022-05-25
409000611074,INDO GIBL Indiaforensic STL17101,206501.00,,875910.00,2023-09-10
409000611074,INDO GIBL Indiaforensic STL01111,192675.00,,875947.00,2023-05-09
409000425051,NEFT/17920614C1600001/NAY,,8000.00,1296086.85,2022-03-01
409000425051,BDP IS 6095,,8000.00,1293575.85,2022-09-05
409000493201,BBPS SETMNT FOR DT 210920,162881.70,,877184.71,2022-02-28
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,877539.08,2023-11-22
409000425051,NEFT/SBHY616348705420/JAY,,25000.00,1288086.85,2022-09-25
409000493201,BBPS SETMNT FOR DT 201120,212645.91,,877639.55,2022-10-17
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,877895.67,2023-03-18
409000611074,INDO GIBL Indiaforensic STL03011,601604.00,,879573.00,2022-12-10
409000493201,BBPS SETTLEMENT 30052017,128069.51,,879613.02,2023-01-21
409000611074,INDO GIBL Indiaforensic STL11071,828988.00,,880195.00,2022-05-17
409000425051,NEFT/PUGBH16323282208/Mr,,8000.00,1285575.85,2022-12-29
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,880613.78,2023-08-05
409000611074,INDO GIBL Indiaforensic STL09031,390850.00,,880837.00,2022-12-17
409000611074,Indfor INCOME INDO REMI23091,120.00,,880920.00,2022-05-20
409000611074,INDO GIBL Indiaforensic STL22091,78250.00,,881040.00,2022-12-30
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,881076.11,2022-03-20
409000493201,BBPS DT 05062018,78982.56,,881446.90,2022-09-08
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,881987.63,2023-11-14
409000425051,NEFT/SBIN316273038712/SAN,,11000.00,1284578.60,2023-07-28
409000611074,INDO GIBL Indiaforensic STL08101,530352.00,,883012.00,2022-08-09
409000425051,NEFT/SBIN816181725132/NAZ,,20000.00,1280577.60,2023-10-21
409000493201,BBPS SETMNT FOR DT 260720,89718.90,,884193.89,2022-08-07
409000493201,BBPS DT 17112008,,322009.05,884901.08,2022-11-15
409000493201,BBPS SETMNT FOR DT 080920,103607.47,,885210.43,2022-08-18
409000425051,BDP IS 6095,,1.00,1277575.85,2022-01-11
409000425051,NEFT/PUNBH16323383189/RAJ,,8000.00,1277574.85,2023-04-28
409000493201,BBPS SETMNT FOR DT 171120,92084.66,,886845.52,2022-09-22
409000493201,TRF FROM  Indiaforensic SERVICES,,200000.00,887979.41,2023-04-07
409000493201,BBPS DT 20032018,226245.30,,888085.64,2023-12-15
409000611074,INDO GIBL Indiaforensic STL21061,434905.00,,888141.00,2023-09-19
409000425051,NEFT/SBIN216273932967/SAN,,20000.00,1273578.60,2022-03-05
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,890450.97,2022-01-13
409000425051,BDP IS 6095,,3000.00,1269574.85,2023-02-01
409000493201,BBPS DT 06102018,,235850.74,891007.10,2022-10-02
409000493201,BBPS SETMNT FOR DT 081220,209118.73,,891215.41,2022-06-21
409000493201,BBPS SETMNT FOR DT 041220,138532.32,,891436.80,2023-12-01
409000425051,BDP IS 6095,,5000.00,1266574.85,2022-06-06
409000493201,BBPS DT 24092018,63048.84,,891691.83,2023-10-15
409000493201,BBPS DT 28042018,160888.20,,892433.86,2023-10-08
409000425051,BDP IS 6095,,3000.00,1263086.85,2022-03-09
409000425051,BDP IS 6095,,3000.00,1261574.85,2022-02-14
409000611074,INDO GIBL Indiaforensic STL17051,459800.00,,893607.00,2023-04-03
409000611074,INDO GIBL Indiaforensic STL19111,613175.00,,893943.00,2022-12-08
409000493201,BBPS DT 13032018,232615.36,,895538.02,2023-11-19
409000611074,INDO GIBL Indiaforensic STL30011,224051.00,,895771.00,2022-12-28
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,895874.69,2023-07-30
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,896517.99,2023-09-02
409000425051,NEFT/SBIN816181708340/GOB,,2000.00,1260577.60,2022-09-02
409000493201,BBPS SETMNT FOR DT 230820,196623.90,,896677.49,2022-10-11
409000611074,INDO GIBL Indiaforensic STL07081,662025.00,,896785.00,2022-06-22
409000493201,BBPS SETMNT FOR DT 030720,129069.18,,897191.75,2022-08-19
409000493201,BBPS DT 28022018,53685.02,,897202.09,2023-06-09
409000493201,BBPS SETMNT FOR DT 050620,54678.20,,897411.59,2022-08-15
409000425051,BDP IS 6095,,5000.00,1260086.85,2023-02-09
409000493201,BBPS DT 21112008,,295177.19,898203.73,2023-12-17
409000425051,NEFT/SBIN816180176925/DEE,,20000.00,1258577.60,2023-06-26
409000493201,BBPS DT 09092018,,179898.57,898616.58,2022-01-04
409000493201,REV SWITCHING FEE + SERVI,,1671.63,898863.38,2023-08-26
409000493201,FDRL/INTERNAL FUND TRANSFE,,100000.00,898932.79,2023-11-15
409000493201,BBPS DT 30052018,110513.70,,899499.81,2023-11-22
409000425051,BDP IS 6095,,5000.00,1258574.85,2023-06-17
409000425051,BDP IS 6095,,3000.00,1255086.85,2023-06-01
409000611074,INDO GIBL Indiaforensic STL21101,10500.00,,903346.00,2023-11-30
409000611074,INDO GIBL Indiaforensic STL26117,42800.00,,903922.00,2023-12-08
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,903990.77,2023-10-17
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,904324.09,2022-11-30
409000493201,BBPS SETTLEMENT DTD 27JAN,15009.49,,904493.96,2023-10-28
409000425051,NEFT/CBINH16272A09197/SAN,,12000.00,1253578.60,2023-07-16
409000425051,BDP IS 6095,,1.00,1253574.85,2023-05-23
409000493201,BBPS CERTIFICATE FEE,472000.00,,905639.55,2022-02-21
409000425051,BDP IS 6095,,3000.00,1253573.85,2023-07-18
409000611074,Indfor INCOME INDO REMI08091,2040.00,,906702.00,2022-10-01
409000425051,BDP IS 6095,,5000.00,1252086.85,2022-01-31
409000611074,INDO GIBL Indiaforensic STL16071,717000.00,,907940.00,2023-10-05
409000425051,BDP IS 6095,,5000.00,1250573.85,2022-03-20
409000611074,INDO GIBL Indiaforensic STL07091,441750.00,,908742.00,2022-06-28
409000611074,INDO GIBL Indiaforensic STL30081,360425.00,,909084.00,2023-03-22
409000493201,BBPS DT 21062018,71360.10,,909747.39,2023-02-03
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,909823.06,2022-11-21
409000493201,BBPS SETMNT FOR DT 081120,159473.08,,909857.92,2023-08-18
409000493201,BBPS SETMNT FOR DT 291120,112778.71,,910691.05,2022-11-01
409000493201,BBPS SETMNT FOR DT 240720,202879.78,,911062.39,2022-04-29
409000493201,TRF TO  Indiaforensic SERVICES I,1000000.00,,911120.86,2022-07-11
409000611074,INDO GIBL Indiaforensic STL29031,81675.00,,911559.00,2022-04-21
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,911844.08,2023-07-31
409000493201,BBPS DT 04052018,139069.50,,912073.06,2023-10-25
409000611074,INDO GIBL Indiaforensic STL09111,84101.00,,912475.00,2022-02-12
409000493201,BBPS DT 27112008,,288502.17,912541.45,2022-04-23
409000425051,BDP IS 6095,,3000.00,1247086.85,2023-09-28
409000425051,BDP IS 6095,,3000.00,1245573.85,2022-09-03
409000493201,BBPS DT 21032018,174291.75,,913793.89,2023-03-13
409000611074,Indfor INCOME INDO REMI21101,120.00,,913846.00,2023-03-13
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,913942.17,2022-08-23
409000611074,INDO GIBL Indiaforensic STL20101,223600.00,,913966.00,2022-12-14
409000425051,BDP IS 6095,,5000.00,1244086.85,2023-09-11
409000425051,BDP IS 6095,,5000.00,1242573.85,2022-02-26
409000611074,INDO GIBL Indiaforensic STL26111,615817.00,,916090.00,2023-02-03
409000493201,TRF FRM  Indiaforensic SERVICES,,200000.00,916834.71,2022-05-28
409000611074,INDO GIBL Indiaforensic STL28101,24000.00,,916858.00,2022-08-18
409000493201,FDRL/INTERNAL FUND TRANSFE,,50000.00,917228.69,2022-07-02
409000611074,INDO GIBL Indiaforensic STL06101,282452.00,,917444.00,2023-06-10
409000493201,BBPS SETMNT FOR DT 220120,153880.37,,917645.49,2023-07-30
409000425051,NEFT/CBINH16272A09166/GUD,,12000.00,1241578.60,2022-05-26
409000425051,BDP IS 6095,,8000.00,1239086.85,2023-05-03
409000493201,BBPS DT 13072018,41636.56,,918696.03,2023-02-07
409000493201,BBPS SETMNT FOR DT 030820,52393.37,,919057.54,2023-11-14
409000493201,BBPS SETMNT FOR DT 271020,98594.43,,919236.35,2023-06-17
409000493201,BBPS SETTLEMENT DTD 24JAN,190.00,,919503.45,2022-09-21
409000425051,NEFT/SBIN716179727588/Mr,,1000.00,1238577.60,2022-03-30
409000425051,NEFT/CBINH16179A02820/CHA,,12000.00,1237577.60,2023-06-07
409000493201,BBPS SETTLEMENT DTD 23JAN,47.44,,919693.45,2022-04-12
409000493201,BBPS SETTLEMENT DTD 21JAN,884.87,,919740.89,2022-02-15
409000425051,BDP IS 6095,,8000.00,1237573.85,2023-08-14
409000425051,BDP IS 6095,,8000.00,1231086.85,2023-04-25
409000425051,NEFT/CBINH16272A09262/RAK,,1000.00,1229578.60,2023-10-19
409000493201,BBPS SETTLEMENT DTD 20JAN,3234.87,,920625.76,2023-08-18
409000493201,BBPS SETMNT FOR DT 251020,289604.87,,921072.81,2022-03-18
409000493201,BBPS SETMNT FOR DT 101120,156605.52,,921743.44,2023-04-11
409000611074,FDRL/INTERNAL FUND TRANSFE,,200000.00,922080.00,2023-04-02
409000611074,Indfor INCOME INDO REMI02101,1200.00,,922302.00,2022-07-07
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,922722.58,2023-01-14
409000493201,BBPS SETMNT FOR DT 141120,231316.89,,923004.97,2022-11-04
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,923017.52,2023-07-19
409000611074,INDO GIBL Indiaforensic STL05081,17500.00,,923420.00,2023-05-13
409000611074,INDO GIBL Indiaforensic STL01101,529105.00,,923502.00,2022-01-14
409000425051,BDP IS 6095,,5000.00,1229573.85,2023-10-07
409000425051,NEFT/CBINH16272A09388/DHE,,1000.00,1228578.60,2023-12-13
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,923763.43,2022-03-30
409000493201,BBPS SETTLEMENT DTD 19JAN,10379.49,,923860.63,2022-04-12
409000425051,NEFT/CBINH16272A09224/MAN,,11000.00,1227578.60,2022-05-13
409000425051,NEFT/SBIN616176940371/Mr,,1000.00,1225577.60,2022-04-23
409000493201,BBPS SETTLEMENT 28032017,391248.80,,925585.91,2022-02-17
409000611074,INDO GIBL Indiaforensic STL20031,434450.00,,925784.00,2023-08-04
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,925787.59,2022-03-12
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,926034.66,2023-03-19
409000493201,BBPS SETMNT FOR DT 180120,164097.27,,926114.31,2023-01-04
409000493201,BBPS DT 26122018,214821.75,,926689.44,2022-11-14
409000611074,INDO GIBL Indiaforensic STL29111,247700.00,,926761.00,2022-06-14
409000493201,BBPS DT 04122008,,360370.52,926998.76,2023-08-06
409000611074,INDO GIBL Indiaforensic STL31121,776077.00,,927184.00,2023-09-13
409000611074,INDO GIBL Indiaforensic STL15121,210500.00,,927855.00,2022-03-21
409000493201,BBPS SETMNT FOR DT 130720,138813.76,,928551.43,2023-07-31
409000493201,BBPS SETMNT FOR DT 161020,338660.26,,928717.64,2022-10-02
409000493201,BBPS DT 26032018,138542.03,,928769.61,2023-01-28
409000611074,INDO GIBL Indiaforensic STL13071,505300.00,,929020.00,2022-02-06
409000611074,INDO GIBL Indiaforensic STL12071,447455.00,,929620.00,2022-02-21
409000493201,BBPS STMT FOR DTD 01JUN17,98256.42,,929779.69,2022-10-23
409000493201,BBPS SETMNT FOR DT 300820,163053.01,,929845.24,2023-07-09
409000611074,INDO GIBL Indiaforensic STL14101,34500.00,,930092.00,2022-11-03
409000493201,BBPS SETMNT FOR DT 221120,146827.17,,930161.24,2023-02-03
409000493201,BBPS SETMNT FOR DT 010820,99288.60,,930255.31,2023-02-14
409000425051,NEFT/SAA34915621/SHIV SHA,,12000.00,1224577.60,2022-05-19
409000611074,INDO GIBL Indiaforensic STL11041,639700.00,,930859.00,2022-03-08
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,931052.05,2022-06-09
409000425051,BDP IS 6095,,5000.00,1224573.85,2023-05-21
409000611074,INDO GIBL Indiaforensic STL27121,625478.00,,933331.00,2023-06-01
409000493201,BBPS DT 10042018,247145.70,,933468.08,2023-08-22
409000425051,BDP IS 6095,,3000.00,1223086.85,2023-05-04
409000493201,BBPS SETMNT FOR DT 211220,183516.69,,933627.16,2022-10-20
409000493201,BBPS SETTLEMENT DTD 18JAN,1387.44,,934240.12,2023-04-29
409000493201,BBPS SETTLEMENT FOR DT 26,107909.86,,934584.58,2022-02-27
409000493201,BBPS DT 30112008,,335997.77,935138.49,2023-08-17
409000493201,BBPS DT 22032018,99571.00,,935412.55,2023-02-21
409000493201,BBPS SETTLEMENT DTD 17JAN,3875.00,,935627.56,2023-07-15
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,936317.92,2023-03-01
409000425051,BDP IS 6095,,5000.00,1220086.85,2023-04-14
409000493201,BBPS SETMNT FOR DT 010220,78571.00,,936840.27,2023-04-17
409000493201,BBPS DT 13112008,,163109.39,937082.42,2022-11-11
409000493201,BBPS DT 05042018,118388.47,,937863.96,2022-02-19
409000493201,FDRL/INTERNAL FUND TRANSFE,,200000.00,938230.96,2022-01-07
409000493201,BBPS DT 11092018,62249.74,,938567.86,2022-10-20
409000493201,BBPS DT 02052018,183929.92,,938792.66,2022-12-25
409000493201,BBPS SETTLEMENT FOR 16JAN,4320.41,,939502.56,2023-12-26
409000425051,BDP IS 6095,,1000.00,1219573.85,2023-04-13
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,939606.04,2023-09-20
409000611074,FDRL/INTERNAL FUND TRANSFE,,500000.00,940008.00,2023-07-26
409000425051,BDP IS 6095,,5000.00,1218573.85,2023-06-29
409000425051,BDP IS 6095,,1000.00,1216578.60,2022-10-19
409000611074,INDO GIBL Indiaforensic STL27101,291150.00,,940858.00,2022-10-05
409000611074,Indfor INCOME INDO REMI05081,240.00,,940920.00,2023-06-17
409000611074,Indfor INCOME INDO REMI05071,2520.00,,941118.00,2022-07-03
409000611074,INDO GIBL Indiaforensic STL04081,269850.00,,941160.00,2023-01-25
409000493201,BBPS DT 23042018,106937.58,,941249.85,2023-02-25
409000493201,BBPS DT 23092018,100527.62,,941378.82,2023-08-11
409000425051,NEFT/MAHBH16272458415/Mr.,,1000.00,1215578.60,2022-04-17
409000425051,BDP IS 6095,,8000.00,1215086.85,2023-12-12
409000611074,INDO GIBL Indiaforensic STL06011,182000.00,,942023.00,2022-06-13
409000611074,INDO GIBL Indiaforensic STL15111,224851.00,,942075.00,2023-10-29
409000425051,NEFT/BKIDN16271887938/CHA,,11000.00,1214578.60,2022-05-17
409000611074,INDO GIBL Indiaforensic STL04071,528300.00,,943638.00,2022-12-06
409000493201,BBPS SETTLEMENT FOR DT 04,1758.02,,943822.97,2023-11-18
409000611074,INDO GIBL Indiaforensic STL07011,613279.00,,943957.00,2022-06-08
409000493201,BBPS SETMNT FOR DT 050920,139586.04,,944367.77,2023-09-25
409000611074,INDO GIBL Indiaforensic STL17121,662777.00,,944525.00,2023-02-08
409000425051,NEFT/CBINH16322A00231/NIL,,8000.00,1213573.85,2022-11-18
409000493201,BBPS DT 28062018,23085.44,,944628.44,2022-04-21
409000493201,FDRL/INTERNAL FUND TRANSFE,,300000.00,945124.18,2022-05-17
409000425051,NEFT/FDRL439156264/ACHARIY,,21000.00,1212577.60,2022-05-15
409000493201,BBPS SETTLEMENT FOR DT 03,8.15,,945580.99,2022-12-26
409000493201,BBPS SETTLEMENT DTD 30DEC,8.15,,945589.14,2023-03-21
